00400000	MZ	"MZ"	char[2]
00400110	PE	"PE"	char[4]
00400208	.text	".text"	char[8]
00400230	.rdata	".rdata"	char[8]
00400258	.data	".data"	char[8]
00400280	.zdata	".zdata"	char[8]
004002a8	.tls	".tls"	char[8]
004002d0	.rsrc	".rsrc"	char[8]
009e0b2c	streamingloc.MPQ	"streamingloc.MPQ"	ds
009e0b40	streaming.MPQ	"streaming.MPQ"	ds
009e0b50	development.MPQ	"development.MPQ"	ds
009e0b60	****\lichking-speech-****.MPQ	"****\\lichking-speech-****.MPQ"	ds
009e0b80	****\expansion-speech-****.MPQ	"****\\expansion-speech-****.MPQ"	ds
009e0ba0	****\lichking-locale-****.MPQ	"****\\lichking-locale-****.MPQ"	ds
009e0bc0	****\expansion-locale-****.MPQ	"****\\expansion-locale-****.MPQ"	ds
009e0be0	****\speech-****.MPQ	"****\\speech-****.MPQ"	ds
009e0bf8	****\locale-****.MPQ	"****\\locale-****.MPQ"	ds
009e0c10	common-2.MPQ	"common-2.MPQ"	ds
009e0c20	common.MPQ	"common.MPQ"	ds
009e0c2c	lichking.MPQ	"lichking.MPQ"	ds
009e0c3c	expansion.MPQ	"expansion.MPQ"	ds
009e0c4c	lichkingspeech.MPQ	"lichkingspeech.MPQ"	ds
009e0c60	expansionspeech.MPQ	"expansionspeech.MPQ"	ds
009e0c74	lichkingloc.MPQ	"lichkingloc.MPQ"	ds
009e0c84	expansionloc.MPQ	"expansionloc.MPQ"	ds
009e0c98	speech.MPQ	"speech.MPQ"	ds
009e0ca4	dbc.MPQ	"dbc.MPQ"	ds
009e0cac	fonts.MPQ	"fonts.MPQ"	ds
009e0cb8	sound.MPQ	"sound.MPQ"	ds
009e0cc4	wmo.MPQ	"wmo.MPQ"	ds
009e0ccc	terrain.MPQ	"terrain.MPQ"	ds
009e0cd8	texture.MPQ	"texture.MPQ"	ds
009e0ce4	model.MPQ	"model.MPQ"	ds
009e0cf0	misc.MPQ	"misc.MPQ"	ds
009e0cfc	interface.MPQ	"interface.MPQ"	ds
009e0d0c	alternate.MPQ	"alternate.MPQ"	ds
009e0d1c	..\Data\	"..\\Data\\"	ds
009e0d28	Data\	"Data\\"	ds
009e0d30	network	"network"	ds
009e0d38	movement	"movement"	ds
009e0d44	sound	"sound"	ds
